1,Eddie LeBaron,1952,1963,10-123,TOT,NFL,134,85,898,1796,50.00,13399,104,141,61.4,,7.46,,5.09,,100.0,26,52,3
2,Ryan Fitzpatrick,2005,2014,7-250,TOT,NFL,94,86,1712,2853,60.01,18750,117,101,78.4,185,6.57,1015,5.80,5.11,199.5,31,54,1
3,Chris Miller,1987,1999,1-13,TOT,NFL,98,92,1580,2892,54.63,19320,123,102,74.9,209,6.68,1527,5.94,5.05,197.1,34,58,0
4,Archie Manning,1971,1984,1-2,TOT,NFL,151,139,2011,3642,55.22,23911,125,173,67.1,396,6.57,3092,5.11,3.85,158.4,35,101,3
5,Aaron Brooks,2000,2006,4-131,TOT,NFL,93,90,1673,2963,56.46,20261,123,92,78.5,235,6.84,1454,6.27,5.36,217.9,38,52,0
6,Jeff Blake,1992,2005,6-166,TOT,NFL,120,100,1827,3241,56.37,21711,134,99,78.0,248,6.70,1550,6.15,5.27,180.9,39,61,0
7,Billy Wade,1954,1966,1-1,TOT,NFL,128,85,1370,2523,54.30,18530,124,134,72.2,,7.34,,5.94,,144.8,40,43,2
8,Marc Bulger,2002,2009,6-168,RAM,NFL,96,95,1969,3171,62.09,22814,122,93,84.4,254,7.19,1863,6.64,5.61,237.6,41,54,0
9,Daunte Culpepper,1999,2009,1-11,TOT,NFL,105,100,2016,3199,63.02,24153,149,106,87.8,298,7.55,1696,6.99,5.91,230.0,41,59,0
10,Greg Landry,1968,1984,1-11,TOT,NFL,146,98,1276,2300,55.48,16052,98,103,72.9,310,6.98,2453,5.82,4.24,109.9,44,51,3
11,Jim Zorn,1976,1987,,TOT,NFL,140,106,1669,3149,53.00,21115,111,141,67.3,213,6.71,1585,5.40,4.58,150.8,44,62,0
12,Lynn Dickey,1971,1985,3-56,TOT,NFL,152,111,1747,3125,55.90,23322,141,179,70.9,297,7.46,2423,5.79,4.58,153.4,45,63,3
13,Gus Frerotte,1994,2008,7-197,TOT,NFL,147,93,1699,3106,54.70,21291,114,106,74.2,207,6.85,1328,6.05,5.27,144.8,45,47,1
14,Rodney Peete,1989,2004,6-141,TOT,NFL,104,87,1344,2346,57.29,16338,76,92,73.3,244,6.96,1372,5.85,4.77,157.1,45,42,0
15,Jeff George,1990,2001,1-1,TOT,NFL,131,124,2298,3967,57.93,27602,154,113,80.4,358,6.96,2691,6.45,5.30,210.7,46,78,0
16,Matt Schaub,2004,2014,3-90,TOT,NFL,131,90,2035,3182,63.95,24254,130,85,89.6,172,7.62,1175,7.24,6.52,185.1,46,44,0
17,Steve Beuerlein,1988,2003,4-110,TOT,NFL,147,102,1894,3328,56.91,24046,147,112,80.3,332,7.23,2124,6.59,5.42,163.6,47,55,0
18,Bert Jones,1973,1982,1-2,TOT,NFL,102,96,1430,2551,56.06,18190,124,101,78.2,232,7.13,2020,6.32,5.07,178.3,47,49,0
19,Neil Lomax,1981,1988,2-33,CRD,NFL,108,101,1817,3153,57.63,22771,136,90,82.7,362,7.22,2700,6.80,5.33,210.8,47,52,2
20,Tobin Rote,1950,1966,2-17,TOT,TOT,149,116,1329,2907,45.72,18850,148,191,56.8,,6.48,,4.55,,126.5,48,63,4
Rk,,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Y/A,Yds,AY/A,ANY/A,Y/G,W,L,T
21,Kordell Stewart,1995,2005,2-60,TOT,NFL,126,87,1316,2358,55.81,14746,77,84,70.7,170,6.25,1048,5.30,4.53,117.0,48,34,0
22,Richard Todd,1976,1985,1-6,TOT,NFL,119,108,1610,2967,54.26,20610,124,161,67.6,264,6.95,2127,5.34,4.25,173.2,48,59,1
23,Babe Parilli,1952,1969,1-4,TOT,TOT,189,101,1552,3330,46.61,22681,178,220,59.6,0,6.81,0,4.91,5.54,120.0,49,46,7
24,Jon Kitna,1997,2013,,TOT,NFL,141,124,2677,4442,60.27,29745,169,165,77.4,323,6.70,1987,5.79,4.98,211.0,50,74,0
25,Ken O'Brien,1984,1993,1-24,TOT,NFL,129,110,2110,3602,58.58,25094,128,98,80.4,353,6.97,2654,6.45,5.21,194.5,50,59,1
26,Norm Snead,1961,1976,1-25-35AFL,TOT,NFL,178,159,2276,4353,52.29,30797,196,257,65.5,94,7.07,744,5.32,4.31,173.0,52,99,7
27,George Blanda*,1949,1975,12-119,TOT,TOT,340,106,1911,4007,47.69,26920,236,277,60.6,12,6.72,94,4.79,3.93,79.2,53,50,1
28,Steve DeBerg,1978,1998,10-275,TOT,NFL,206,140,2874,5024,57.21,34241,196,204,74.2,296,6.82,2469,5.77,4.98,166.2,53,86,1
29,Bernie Kosar,1985,1996,1-1,TOT,NFL,126,108,1994,3365,59.26,23301,124,87,81.8,273,6.92,1660,6.50,5.55,184.9,53,54,1
30,Tommy Kramer,1977,1990,1-27,TOT,NFL,129,110,2012,3651,55.11,24777,159,158,72.8,249,6.79,1586,5.71,4.94,192.1,54,56,0
31,Alex Smith,2005,2014,1-1,TOT,NFL,103,98,1763,2931,60.15,19285,115,74,82.2,254,6.58,1475,6.23,5.27,187.2,54,43,1
32,Ed Brown,1954,1965,6-68,TOT,NFL,154,96,949,1987,47.76,15600,102,138,62.8,,7.85,,5.75,,101.3,55,38,5
33,Neil O'Donnell,1991,2003,3-70,TOT,NFL,125,100,1865,3229,57.76,21690,120,68,81.8,259,6.72,1906,6.51,5.48,173.5,55,45,0
34,Jake Delhomme,1999,2011,,TOT,NFL,103,96,1741,2932,59.38,20975,126,101,81.3,168,7.15,1267,6.46,5.70,203.6,56,40,0
35,Trent Green,1997,2008,8-222,TOT,NFL,120,113,2266,3740,60.59,28475,162,114,86.0,259,7.61,1621,7.11,6.24,237.3,56,57,0
36,Bobby Hebert,1985,1996,,TOT,NFL,118,100,1839,3121,58.92,21683,135,124,78.0,178,6.95,1255,6.02,5.32,183.8,56,44,0
37,Dan Pastorini,1971,1983,1-3,TOT,NFL,140,117,1556,3055,50.93,18515,103,161,59.1,246,6.06,2229,4.36,3.36,132.3,56,61,0
38,Milt Plum,1957,1969,2-17,TOT,NFL,129,103,1306,2419,53.99,17536,122,127,72.2,1,7.25,12,5.90,2.50,135.9,56,41,6
39,Otto Graham*,1946,1955,1-4,CLE,TOT,126,114,1464,2626,55.75,23584,174,135,86.6,,8.98,,7.99,,187.2,57,13,1
40,Frank Ryan,1958,1970,5-55,TOT,NFL,126,87,1090,2133,51.10,16042,149,111,77.6,4,7.52,35,6.58,-3.11,127.3,57,27,3
41,Brian Sipe,1974,1983,13-330,CLE,NFL,125,112,1944,3439,56.53,23713,154,149,74.8,224,6.90,1889,5.84,4.97,189.7,57,55,0
42,Charlie Conerly,1948,1961,13-127,NYG,NFL,161,105,1418,2833,50.05,19488,173,167,68.2,,6.88,,5.45,,121.0,58,31,1
43,Trent Dilfer,1994,2007,1-6,TOT,NFL,130,113,1759,3172,55.45,20518,113,129,70.2,263,6.47,1730,5.35,4.44,157.8,58,55,0
44,Jeff Garcia,1999,2011,,TOT,NFL,125,116,2264,3676,61.59,25537,161,83,87.5,181,6.95,947,6.81,6.24,204.3,58,58,0
45,Michael Vick,2001,2014,1-1,TOT,NFL,135,110,1750,3114,56.20,21885,129,86,80.5,297,7.03,1789,6.61,5.51,162.1,58,49,1
46,Steve Bartkowski,1975,1986,1-1,TOT,NFL,129,127,1932,3456,55.90,24124,156,144,75.4,356,6.98,2956,6.01,4.67,187.0,59,68,0
47,Jay Cutler,2006,2014,1-11,TOT,NFL,112,112,2217,3603,61.53,26030,172,120,85.5,238,7.22,1519,6.68,5.87,232.4,59,53,0
48,Charley Johnson,1961,1975,10-1098-63AFL,TOT,NFL,165,124,1737,3392,51.21,24410,170,181,69.2,118,7.20,894,5.80,4.73,147.9,59,57,8
49,Billy Kilmer,1961,1978,1-115-39AFL,TOT,NFL,170,123,1585,2984,53.12,20495,152,146,71.6,158,6.87,1193,5.69,5.08,120.6,61,52,1
50,Jay Schroeder,1985,1994,3-83,TOT,NFL,118,99,1426,2808,50.78,20063,114,108,71.7,208,7.14,1600,6.23,5.27,170.0,61,38,0
51,Norm Van Brocklin*,1949,1960,4-37,TOT,NFL,140,101,1553,2895,53.64,23611,173,178,75.1,,8.16,,6.58,,168.7,61,36,4
52,Joe Namath*,1965,1977,1-121-1AFL,TOT,TOT,140,129,1886,3762,50.13,27663,173,220,65.5,109,7.35,1052,5.64,4.46,197.6,62,63,4
53,Matt Ryan,2008,2014,1-3,ATL,NFL,102,102,2291,3593,63.76,25778,168,85,90.8,174,7.17,1165,7.05,6.41,252.7,62,40,0
54,Danny White,1976,1988,3-53,DAL,NFL,166,92,1761,2950,59.69,21959,155,132,81.7,241,7.44,2083,6.48,5.34,132.3,62,30,0
55,Earl Morrall,1956,1976,1-2,TOT,NFL,255,102,1379,2689,51.28,20809,161,148,74.1,58,7.74,487,6.46,5.09,81.6,63,36,3
56,Aaron Rodgers,2005,2014,1-24,GNB,NFL,102,95,2114,3205,65.96,26289,207,55,105.6,252,8.20,1557,8.72,7.64,257.7,63,32,0
57,Jim Everett,1986,1997,1-3,TOT,NFL,158,153,2841,4923,57.71,34837,203,175,78.6,257,7.08,1885,6.30,5.62,220.5,64,89,0
58,Jack Kemp,1957,1969,17-203,TOT,TOT,122,105,1436,3073,46.73,21218,114,183,57.3,21,6.90,187,4.97,2.92,173.9,65,37,3
59,Jim Harbaugh,1987,2000,1-26,TOT,NFL,177,140,2305,3918,58.83,26288,129,117,77.6,361,6.71,2132,6.02,5.02,148.5,66,74,0
60,Daryle Lamonica,1963,1974,12-16824-188AFL,TOT,TOT,151,88,1288,2601,49.52,19154,164,138,72.9,72,7.36,636,6.24,5.28,126.8,66,16,6
61,Kurt Warner,1998,2009,,TOT,NFL,124,116,2666,4070,65.50,32344,208,128,93.7,260,7.95,1669,7.55,6.71,260.8,66,49,0
